Franchise,Owner,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
Elon-gate your neck on the block,Jamie,57.48,78.92,100.64,38.32,29.64,50.32,28.32,110.86,67.7,79.76,141.42,104.2,123.9,79.64,68.08,9.8
We Didn't Start the Fire,Evan,87.46,62.74,58.28,70.58,26.3,34.46,9.56,157.76,107.3,98.7,26.52,58.78,73.62,75.34,38.92,51.06
Solyan FC,Stephen,73.84,45.18,19.48,46.48,13.86,0.94,126.72,50.88,36.54,35.68,49.92,83.92,113.94,86.12,46.58,49.42
S3XY 420 69,Ted,6.82,26.42,27.28,54.88,60.82,51.96,15.06,69.56,8.06,41.1,29.68,16.82,60.28,60.8,92.86,42.88
Xecutioner,Rob,56.84,7.94,34.9,77.8,31.12,47.46,35.04,66.94,50.04,19.02,58.92,24.1,60.52,55.5,11.92,19.92
Too Many Cooks,Bretty,29.3,32.38,63.42,45.88,85.1,58.74,64.96,35.8,73.24,7.1,103.52,127.36,46.88,88.32,34.36,
Ol JVW,JVW,76.9,94.58,45.88,75.12,69.36,61.68,23.32,53.82,52.28,41.88,105.5,74.72,63.7,55.76,,
Marie Antoinette never actually said “Let Them Eat Cake”,Nick,43.72,31.76,35.26,34.72,39.84,11.74,65.74,100.02,25.24,11.96,61.4,17.34,39.7,34.7,,
Zucker Punch,Ian,13.5,62.58,143.56,17.66,49.58,3.9,17.02,60.48,21.4,71.8,14.82,19.14,80.72,,,
X Æ A-Xii,Sean,24.64,60.26,23.78,68.8,46.16,47.32,58.62,124.54,31.02,16.2,21.28,48.6,,,,
The Josh Dobbs Invitational Roster,Andy C,46.64,29.06,73.54,80.32,18.94,42.06,65.34,106.88,89.68,3.54,51.4,,,,,
The Twits,Shane,77.08,1.08,72.66,28.06,59.42,16.58,23,91.5,39.34,39.78,,,,,,
Spencer Wareo,Matt,67.24,44.48,88.76,36.76,86.76,38.48,39.24,53.36,42.64,,,,,,,
That Says Addidas,Dale,72,32.34,41,46.2,90.28,23.14,55.94,62.98,,,,,,,,
Judd Galaxy,Keaton,35.52,11.4,55.92,37.36,42.58,20.98,35.22,,,,,,,,,
X Marks The Spot,Tom,47.66,25.58,27.02,45.2,81.36,50.8,,,,,,,,,,
Won't be here after week 1,Danny H,82.16,46.42,58.32,64.08,12.2,,,,,,,,,,,
Eat the rich,Andrew E,55.12,20.58,51.86,46.14,,,,,,,,,,,,
Musk taps Zuck,Kirk,41.12,41.32,73.62,,,,,,,,,,,,,
Henry VIII,Dan S,61.82,59.04,,,,,,,,,,,,,,
Franchise 2,Pierce,95.78,,,,,,,,,,,,,,,
